date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:44:39 ,17.40,2.78%,"154,796",186.88K,555.06M,21.70M,691.50M,2.06,25.40,17.58,3.18,-,0.80,2.40,2.40,0.22,1.10%,4.80%,6.70%,53.25,5.50%,8.50%,6.00%,37.70%,5.10%,3.20%,31.90M,29.86M,0.92%,1.46,19.00,-10.77%,31.82%,16.93,0.69,26.50%,151.70%,0.10%,-46.30%,88.70%,0.76%,0.52,2.99%,4153,3.50
2018-10-17,22:39:41 ,17.43,0.17%,"215,342",186.88K,556.02M,21.70M,691.50M,2.06,25.45,17.61,3.18,-,0.80,2.40,2.40,0.22,1.17%,4.85%,6.82%,53.68,5.50%,8.50%,6.00%,37.70%,5.10%,3.20%,31.90M,29.86M,0.92%,1.46,19.00,-10.62%,32.05%,17.40,0.69,26.50%,151.70%,0.10%,-46.30%,88.70%,0.76%,0.52,2.98%,4153,3.50
2018-10-18,23:15:23 ,16.99,-2.52%,"159,347",189.11K,541.98M,21.70M,691.50M,2.01,24.80,17.16,3.10,-,0.78,2.40,2.40,0.22,-1.59%,2.05%,4.06%,48.42,5.50%,8.50%,6.00%,37.70%,5.10%,3.20%,31.90M,29.86M,0.92%,1.45,19.00,-12.87%,28.71%,17.43,0.69,26.50%,151.70%,0.10%,-46.30%,88.70%,0.76%,0.52,3.06%,4153,3.50
2018-10-19,23:22:09 ,16.58,-2.41%,"182,494",189.13K,528.90M,21.70M,691.50M,1.96,24.20,16.75,3.03,-,0.76,2.40,2.40,0.22,-4.01%,-0.50%,1.50%,44.47,5.50%,8.50%,6.00%,37.70%,5.10%,3.20%,31.90M,29.86M,0.92%,1.45,19.00,-14.97%,25.61%,16.99,0.69,26.50%,151.70%,0.10%,-46.30%,88.70%,0.76%,0.52,3.14%,4153,3.50
2018-10-22,20:45:47 ,16.85,1.63%,"120,364",184.35K,544.59M,21.70M,691.50M,1.99,24.60,17.02,3.07,-,0.79,2.40,2.40,0.22,-2.30%,1.06%,3.12%,47.98,5.50%,8.50%,6.00%,37.70%,5.10%,3.20%,32.32M,29.86M,0.92%,1.48,19.00,-13.59%,27.65%,16.58,0.69,26.50%,151.70%,0.10%,-45.97%,88.80%,0.78%,0.52,3.09%,4153,3.50
2018-10-23,20:47:05 ,16.63,-1.31%,"143,347",181.49K,537.48M,21.70M,691.50M,1.97,24.28,16.80,3.03,-,0.78,2.40,2.40,0.22,-3.57%,-0.35%,1.74%,45.57,5.50%,8.50%,6.00%,37.70%,5.10%,3.20%,32.32M,29.86M,0.92%,1.51,19.00,-14.72%,25.98%,16.85,0.69,26.50%,151.70%,0.10%,-45.97%,88.80%,0.78%,0.52,3.13%,4153,3.50
2018-10-24,20:45:06 ,15.94,-4.15%,"288,826",179.27K,515.18M,21.70M,691.50M,1.89,23.27,16.10,2.91,-,0.75,2.40,2.40,0.22,-7.51%,-4.57%,-2.49%,39.39,5.50%,8.50%,6.00%,37.70%,5.10%,3.20%,32.32M,29.86M,0.92%,1.53,19.00,-18.26%,20.76%,16.63,0.69,26.50%,151.70%,0.10%,-45.97%,88.80%,0.78%,0.52,3.26%,4153,3.50
2018-10-25,20:46:18 ,16.15,1.32%,"215,461",181.37K,521.97M,21.70M,691.50M,1.91,23.58,16.31,2.95,-,0.75,2.40,2.40,0.22,-6.09%,-3.30%,-1.18%,42.10,5.50%,8.50%,6.00%,37.70%,5.10%,3.20%,32.32M,29.86M,0.92%,1.51,19.00,-17.18%,22.35%,15.94,0.69,26.50%,151.70%,0.10%,-45.97%,88.80%,0.78%,0.52,3.22%,4153,3.50
2018-10-26,20:46:27 ,16.41,1.61%,"158,703",182.92K,530.37M,21.70M,691.50M,1.94,23.96,16.58,2.99,-,0.77,2.40,2.40,0.22,-4.48%,-1.78%,0.43%,45.06,5.50%,8.50%,6.00%,37.70%,5.10%,3.20%,32.32M,29.86M,0.92%,1.50,19.00,-15.85%,24.32%,16.15,0.69,26.50%,151.70%,0.10%,-45.97%,88.80%,0.78%,0.52,3.17%,4153,3.50
2018-10-29,20:36:21 ,16.44,0.18%,"160,197",183.03K,510.30M,21.70M,691.50M,1.95,24.00,16.61,3.00,-,0.74,2.40,2.40,0.22,-4.25%,-1.66%,0.62%,45.37,5.50%,8.50%,6.00%,37.70%,5.10%,3.20%,31.04M,29.86M,0.88%,1.43,19.00,-15.69%,24.55%,16.41,0.69,26.50%,151.70%,0.10%,-46.98%,84.80%,0.65%,0.52,3.16%,4153,3.50
2018-10-30,20:37:56 ,16.20,-1.46%,"281,092",182.04K,502.85M,21.70M,691.50M,1.92,23.65,16.36,2.96,-,0.73,2.40,2.40,0.22,-5.61%,-3.15%,-0.84%,42.21,5.50%,8.50%,6.00%,37.70%,5.10%,3.20%,31.04M,29.86M,0.88%,1.44,19.00,-16.92%,22.73%,16.44,0.69,26.50%,151.70%,0.10%,-46.98%,84.80%,0.65%,0.52,3.21%,4153,3.50
2018-10-31,20:36:22 ,16.32,0.74%,"239,563",184.46K,506.57M,21.70M,691.50M,1.93,23.82,16.48,2.98,-,0.73,2.40,2.40,0.22,-4.81%,-2.46%,-0.10%,44.18,5.50%,8.50%,6.00%,37.70%,5.10%,3.20%,31.04M,29.86M,0.88%,1.42,19.00,-16.31%,23.64%,16.20,0.69,26.50%,151.70%,0.10%,-46.98%,84.80%,0.65%,0.52,3.19%,4153,3.50
2018-11-01,20:39:03 ,16.60,1.72%,"108,540",185.59K,515.26M,21.70M,691.50M,1.96,24.23,16.77,3.03,-,0.75,2.40,2.40,0.22,-3.15%,-0.83%,1.62%,47.93,5.50%,8.50%,6.00%,37.70%,5.10%,3.20%,31.04M,29.86M,0.88%,1.41,19.00,-14.87%,25.76%,16.32,0.69,26.50%,151.70%,0.10%,-46.98%,84.80%,0.65%,0.52,3.13%,4153,3.50
2018-11-03,02:07:26 ,16.43,-1.02%,"152,676",185.03K,509.99M,21.70M,691.50M,1.94,23.99,16.60,3.00,-,0.74,2.40,2.40,0.22,-3.46%,-1.95%,0.56%,46.57,5.50%,8.50%,6.00%,37.70%,5.10%,3.20%,31.04M,29.86M,0.88%,1.42,19.00,-15.74%,24.47%,16.60,0.69,26.50%,151.70%,0.10%,-46.98%,84.80%,0.65%,0.52,3.16%,4153,3.50
2018-11-05,19:40:22 ,16.51,0.49%,"216,262",184.89K,526.17M,21.70M,691.50M,1.95,24.10,16.68,3.01,-,0.76,2.40,2.40,0.22,-2.26%,-1.57%,1.05%,47.52,5.50%,8.50%,6.00%,37.70%,5.10%,3.20%,31.87M,29.86M,0.88%,1.42,19.00,-15.33%,25.08%,16.43,0.69,26.50%,151.70%,0.10%,-46.32%,85.40%,1.45%,0.52,3.15%,4153,3.50
2018-11-06,19:38:13 ,16.58,0.42%,"178,796",186.47K,528.40M,21.70M,691.50M,1.96,24.20,16.75,3.03,-,0.76,2.40,2.40,0.22,-1.30%,-1.24%,1.47%,48.50,5.50%,8.50%,6.00%,37.70%,5.10%,3.20%,31.87M,29.86M,0.88%,1.40,19.00,-14.97%,25.61%,16.51,0.69,26.50%,151.70%,0.10%,-46.32%,85.40%,1.45%,0.52,3.14%,4153,3.50
2018-11-07,19:47:27 ,16.72,0.84%,"88,727",188.13K,532.87M,21.70M,691.50M,1.98,24.41,16.89,3.05,-,0.77,2.40,2.40,0.22,0.04%,-0.52%,2.32%,50.63,5.50%,8.50%,6.00%,37.70%,5.10%,3.20%,31.87M,29.86M,0.88%,1.39,19.00,-14.26%,26.67%,16.58,0.69,26.50%,151.70%,0.10%,-46.32%,85.40%,1.45%,0.52,3.11%,4153,3.50
2018-11-08,19:58:44 ,16.72,0.00%,"77,134",188.21K,532.87M,21.70M,691.50M,1.98,24.41,16.89,3.05,-,0.77,2.40,2.40,0.22,0.35%,-0.64%,2.31%,50.25,5.50%,8.50%,6.00%,37.70%,5.10%,3.20%,31.87M,29.86M,0.88%,1.39,19.00,-14.26%,26.67%,16.72,0.69,26.50%,151.70%,0.10%,-46.32%,85.40%,1.45%,0.52,3.11%,4153,3.50
2018-11-09,20:14:46 ,16.61,-0.66%,"102,764",187.74K,529.36M,21.70M,691.50M,1.97,24.25,16.78,3.03,-,0.77,2.40,2.40,0.22,-0.18%,-1.37%,1.63%,47.91,5.50%,8.50%,6.00%,37.70%,5.10%,3.20%,31.87M,29.86M,0.88%,1.40,19.00,-14.82%,25.83%,16.72,0.69,26.50%,151.70%,0.10%,-46.32%,85.40%,1.45%,0.52,3.13%,4153,3.50
2018-11-12,22:17:55 ,16.52,-0.54%,"66,218",186.75K,524.51M,21.70M,691.50M,1.96,24.12,16.69,3.01,-,0.76,2.40,2.40,0.22,-0.61%,-1.96%,1.08%,45.31,5.50%,8.50%,6.00%,37.70%,5.10%,3.20%,31.75M,29.86M,0.70%,1.12,19.00,-15.28%,25.15%,16.61,0.69,26.50%,151.70%,0.10%,-46.41%,84.80%,0.70%,0.52,3.15%,4153,3.50
2018-11-13,19:49:38 ,16.40,-0.73%,"74,854",184.96K,520.70M,21.70M,691.50M,1.94,23.94,16.57,2.99,-,0.75,2.40,2.40,0.22,-1.21%,-2.66%,0.35%,43.27,5.50%,8.50%,6.00%,37.70%,5.10%,3.20%,31.75M,29.86M,0.70%,1.13,19.00,-15.90%,24.24%,16.52,0.69,26.50%,151.70%,0.10%,-46.41%,84.80%,0.70%,0.52,3.17%,4153,3.50
2018-11-14,19:38:37 ,16.32,-0.49%,"69,942",185.21K,518.16M,21.70M,691.50M,1.93,23.82,16.48,2.98,-,0.75,2.40,2.40,0.22,-1.40%,-3.13%,-0.14%,43.24,5.50%,8.50%,6.00%,37.70%,5.10%,3.20%,31.75M,29.86M,0.70%,1.13,19.00,-16.31%,23.64%,16.40,0.69,26.50%,151.70%,0.10%,-46.41%,84.80%,0.70%,0.52,3.19%,4153,3.50
